,1. Baseline (Stable PPO),2. High Clip (Policy Collapse),3. No Entropy (Local Minima)
0,-204.33520281634762,-172.91375822090916,-185.5621596092773
1,-199.2371223725794,-137.78664423855798,-238.63503798517655
2,-153.47004306084187,-142.65553517077362,-134.0079192564172
3,-174.24004260731834,-128.4331455702968,-169.88183536222252
4,-125.96928437672707,-149.9033337159073,-153.91086665807944
5,-91.10636071803665,-82.9587905191506,-140.20814036392045
6,-96.11983690143032,-71.68748547470899,-55.759091868661514
7,-99.79556798071533,-76.31556635844645,-55.087512526830096
8,-59.84328818296247,-70.41468356300746,-92.38500989597182
9,-74.28181223971055,-13.352055741178708,-84.07389825738993
10,-38.9800724731058,2.6343663818380065,-67.59191285745085
11,-83.78611735945623,-30.79575198699152,-5.452830473198384
12,-38.01034115036629,-40.966226202106526,-55.294171169897254
13,-21.52227603096121,5.764887241165729,56.02909476039254
14,-9.797090448533234,-4.105400423623832,87.7576395010016
15,19.385919408147185,24.63908992713477,41.78988698538761
16,53.840824821722414,4.458319577402901,-33.029600887174276
17,53.240803514877925,13.840599668628183,16.65430972081169
18,79.02166274359463,-13.244566256571883,53.86911801958695
19,5.146092282503407,48.62478093547055,82.25798472511408
20,27.848722350893105,2.2376636006420725,-12.548137082684445
21,22.725968045036012,47.752917557527276,2.0955097603440405
22,23.88764216923153,60.43027904515414,121.02349601229905
23,58.49061701437593,38.73309013961968,95.87316078187794
24,105.09576849726412,27.22174964913893,-69.68149878510276
25,62.431887182363766,59.501396166435754,-26.805539786178173
26,31.67833981664362,80.92169112878875,-65.98642210617456
27,54.63206162576559,79.09117730802765,-96.57742047856941
28,68.98007161142607,29.148025986680324,-56.59373312803225
29,15.052345114137584,73.99417279200408,39.21253274657987
30,10.653146142466985,73.25121251395163,82.18952377137443
31,80.18667102195236,56.66368200735327,-3.426779505677594
32,70.0936047789468,67.3903578351434,119.53222157949399
33,44.37696586859031,37.03637889566798,68.16393643246586
34,90.11326503806656,89.29062741377949,117.8384903630077
35,91.51044234038459,88.6184391891058,92.67368828342134
36,64.27790324610069,82.2047685852633,81.10536624412109
37,90.9024749809601,68.23469784652686,100.60243881547873
38,41.86502744367978,85.94107940184263,51.39044862895865
39,64.18575529792967,79.33089213424601,134.38244759955387
40,86.55329857853769,57.6339027508238,75.11429659268754
41,85.21769190184679,78.10204424024177,44.31186335282977
42,83.7499183277271,32.405846554265814,75.97740224402415
43,52.24447699499009,71.95697761295295,-41.54870992214203
44,92.68943756806203,85.16850230001025,100.14792198269905
45,48.81355756737497,66.10526810779443,94.36917899275241
46,77.40429618502407,72.75214777658815,96.89082555037729
47,69.78937096056265,44.95074111565564,131.19090313169878
48,93.4584723483737,60.5682959030132,126.35120463177779
