Episode_x20,Average Reward
0,-185.5621596092773
1,-238.63503798517655
2,-134.0079192564172
3,-169.88183536222252
4,-153.91086665807944
5,-140.20814036392045
6,-55.759091868661514
7,-55.087512526830096
8,-92.38500989597182
9,-84.07389825738993
10,-67.59191285745085
11,-5.452830473198384
12,-55.294171169897254
13,56.02909476039254
14,87.7576395010016
15,41.78988698538761
16,-33.029600887174276
17,16.65430972081169
18,53.86911801958695
19,82.25798472511408
20,-12.548137082684445
21,2.0955097603440405
22,121.02349601229905
23,95.87316078187794
24,-69.68149878510276
25,-26.805539786178173
26,-65.98642210617456
27,-96.57742047856941
28,-56.59373312803225
29,39.21253274657987
30,82.18952377137443
31,-3.426779505677594
32,119.53222157949399
33,68.16393643246586
34,117.8384903630077
35,92.67368828342134
36,81.10536624412109
37,100.60243881547873
38,51.39044862895865
39,134.38244759955387
40,75.11429659268754
41,44.31186335282977
42,75.97740224402415
43,-41.54870992214203
44,100.14792198269905
45,94.36917899275241
46,96.89082555037729
47,131.19090313169878
48,126.35120463177779
